2024-12-11T13:47:04.284+03:00 DEBUG 3080 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/C:/Users/hayru/Desktop/Codes/wO/kouD/FalconStack/aymoose-server/facility/internal/build/libs/aymoose-facility-internal-plain.jar!/gtu/cse/se/altefdirt/aymoose/facility/internal/application/service/impl/FacilityServiceImpl.class]
2024-12-11T13:47:04.284+03:00 DEBUG 3080 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/C:/Users/hayru/Desktop/Codes/wO/kouD/FalconStack/aymoose-server/facility/internal/build/libs/aymoose-facility-internal-plain.jar!/gtu/cse/se/altefdirt/aymoose/facility/internal/domain/AmenityFactory.class]
2024-12-11T13:47:04.285+03:00 DEBUG 3080 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/C:/Users/hayru/Desktop/Codes/wO/kouD/FalconStack/aymoose-server/facility/internal/build/libs/aymoose-facility-internal-plain.jar!/gtu/cse/se/altefdirt/aymoose/facility/internal/domain/CityFactory.class]
2024-12-11T13:47:04.285+03:00 DEBUG 3080 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/C:/Users/hayru/Desktop/Codes/wO/kouD/FalconStack/aymoose-server/facility/internal/build/libs/aymoose-facility-internal-plain.jar!/gtu/cse/se/altefdirt/aymoose/facility/internal/domain/CourtFactory.class]
2024-12-11T13:47:04.286+03:00 DEBUG 3080 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/C:/Users/hayru/Desktop/Codes/wO/kouD/FalconStack/aymoose-server/facility/internal/build/libs/aymoose-facility-internal-plain.jar!/gtu/cse/se/altefdirt/aymoose/facility/internal/domain/DistrictFactory.class]
2024-12-11T13:47:04.286+03:00 DEBUG 3080 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/C:/Users/hayru/Desktop/Codes/wO/kouD/FalconStack/aymoose-server/facility/internal/build/libs/aymoose-facility-internal-plain.jar!/gtu/cse/se/altefdirt/aymoose/facility/internal/domain/FacilityFactory.class]
2024-12-11T13:47:04.288+03:00 DEBUG 3080 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/C:/Users/hayru/Desktop/Codes/wO/kouD/FalconStack/aymoose-server/facility/internal/build/libs/aymoose-facility-internal-plain.jar!/gtu/cse/se/altefdirt/aymoose/facility/internal/infra/adapter/ImageOperationAdapter.class]
2024-12-11T13:47:04.289+03:00 DEBUG 3080 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Ignored because not a concrete top-level class: URL [jar:file:/C:/Users/hayru/Desktop/Codes/wO/kouD/FalconStack/aymoose-server/facility/internal/build/libs/aymoose-facility-internal-plain.jar!/gtu/cse/se/altefdirt/aymoose/facility/internal/infra/adapter/jpa/JpaAmenityRepository.class]
2024-12-11T13:47:04.289+03:00 DEBUG 3080 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Ignored because not a concrete top-level class: URL [jar:file:/C:/Users/hayru/Desktop/Codes/wO/kouD/FalconStack/aymoose-server/facility/internal/build/libs/aymoose-facility-internal-plain.jar!/gtu/cse/se/altefdirt/aymoose/facility/internal/infra/adapter/jpa/JpaCityRepository.class]
2024-12-11T13:47:04.289+03:00 DEBUG 3080 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Ignored because not a concrete top-level class: URL [jar:file:/C:/Users/hayru/Desktop/Codes/wO/kouD/FalconStack/aymoose-server/facility/internal/build/libs/aymoose-facility-internal-plain.jar!/gtu/cse/se/altefdirt/aymoose/facility/internal/infra/adapter/jpa/JpaCourtRepository.class]
2024-12-11T13:47:04.290+03:00 DEBUG 3080 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Ignored because not a concrete top-level class: URL [jar:file:/C:/Users/hayru/Desktop/Codes/wO/kouD/FalconStack/aymoose-server/facility/internal/build/libs/aymoose-facility-internal-plain.jar!/gtu/cse/se/altefdirt/aymoose/facility/internal/infra/adapter/jpa/JpaDistrictRepository.class]
2024-12-11T13:47:04.290+03:00 DEBUG 3080 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Ignored because not a concrete top-level class: URL [jar:file:/C:/Users/hayru/Desktop/Codes/wO/kouD/FalconStack/aymoose-server/facility/internal/build/libs/aymoose-facility-internal-plain.jar!/gtu/cse/se/altefdirt/aymoose/facility/internal/infra/adapter/jpa/JpaFacilityRepository.class]
2024-12-11T13:47:04.290+03:00 DEBUG 3080 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/C:/Users/hayru/Desktop/Codes/wO/kouD/FalconStack/aymoose-server/facility/internal/build/libs/aymoose-facility-internal-plain.jar!/gtu/cse/se/altefdirt/aymoose/facility/internal/infra/adapter/jpa/repository/AmenityRepositoryImpl.class]
2024-12-11T13:47:04.290+03:00 DEBUG 3080 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/C:/Users/hayru/Desktop/Codes/wO/kouD/FalconStack/aymoose-server/facility/internal/build/libs/aymoose-facility-internal-plain.jar!/gtu/cse/se/altefdirt/aymoose/facility/internal/infra/adapter/jpa/repository/CityRepositoryImpl.class]
2024-12-11T13:47:04.290+03:00 DEBUG 3080 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/C:/Users/hayru/Desktop/Codes/wO/kouD/FalconStack/aymoose-server/facility/internal/build/libs/aymoose-facility-internal-plain.jar!/gtu/cse/se/altefdirt/aymoose/facility/internal/infra/adapter/jpa/repository/CourtRepositryImpl.class]
2024-12-11T13:47:04.291+03:00 DEBUG 3080 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/C:/Users/hayru/Desktop/Codes/wO/kouD/FalconStack/aymoose-server/facility/internal/build/libs/aymoose-facility-internal-plain.jar!/gtu/cse/se/altefdirt/aymoose/facility/internal/infra/adapter/jpa/repository/DistrictRepositoryImpl.class]
2024-12-11T13:47:04.291+03:00 DEBUG 3080 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/C:/Users/hayru/Desktop/Codes/wO/kouD/FalconStack/aymoose-server/facility/internal/build/libs/aymoose-facility-internal-plain.jar!/gtu/cse/se/altefdirt/aymoose/facility/internal/infra/adapter/jpa/repository/FacilityRepositoryImpl.class]
2024-12-11T13:47:04.291+03:00 DEBUG 3080 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/C:/Users/hayru/Desktop/Codes/wO/kouD/FalconStack/aymoose-server/facility/internal/build/libs/aymoose-facility-internal-plain.jar!/gtu/cse/se/altefdirt/aymoose/facility/internal/infra/adapter/provider/CourtProviderImpl.class]
